Pincode,Prepaid,Reverse Pickup,COD,City,State Code,Express TAT,Surface TAT,Zone,BD-Zone,BD-State Code,BD-serviceable status
143115,Y,Y,Y,Tarn Taran Sahib,PB,2,2,B,No service,No service,EDL /ODA
385210,Y,Y,Y,Palanpur,GJ,3,4,D1,No service,No service,EDL /ODA
246745,Y,Y,Y,Kanth,UP,2,2,B,No service,No service,EDL /ODA
622407,Y,Y,Y,Ponnamaravathi,TN,3,5,D2,No service,No service,EDL /ODA
623407,Y,Y,Y,Thiruvadanai,TN,3,5,D2,No service,No service,EDL /ODA
560076,Y,Y,Y,Bangalore,KA,2,4,C2,SOUTH,BLR,Yes
676554,Y,Y,Y,Valanchery,KL,2,5,D2,No service,No service,EDL /ODA
833102,Y,Y,Y,Chakradharpur,JH,3,4,D1,No service,No service,EDL /ODA
783390,Y,Y,Y,Bijni,AS,4,4,E,No service,No service,EDL /ODA
362630,Y,Y,Y,Manavadar,GJ,3,3,D1,No service,No service,EDL /ODA
628801,Y,Y,Y,Eral,TN,3,5,D2,No service,No service,EDL /ODA
682029,Y,Y,Y,Cochin,KL,2,5,D2,SOUTH,COK,Yes
682010,Y,Y,Y,Cochin,KL,2,5,D2,No service,No service,EDL /ODA
370040,Y,Y,Y,Bhuj,GJ,3,4,D1,No service,No service,EDL /ODA
602106,Y,Y,Y,Kanchipuram,TN,3,4,D2,SOUTH,SPD,Yes
676508,Y,Y,Y,Malappuram,KL,2,5,D2,No service,No service,0
481768,Y,Y,Y,Mandla,MP,3,3,D1,No service,No service,EDL /ODA
110062,Y,Y,Y,Delhi,DL,1,1,A,NORTH,DEL,Yes
847410,Y,Y,Y,Jhanjharpur,BR,3,3,D1,No service,No service,EDL /ODA
691516,Y,Y,Y,Ayoor,KL,3,5,D2,No service,No service,EDL /ODA
577433,Y,Y,Y,Shiralakoppa,KA,3,5,#N/A,No service,No service,EDL /ODA
670704,Y,Y,Y,Chavassery,KL,3,5,#N/A,No service,No service,EDL /ODA
412306,Y,Y,Y,Nira,MH,3,4,D2,WEST,LND,Yes
535573,Y,Y,Y,Bobbili,AP,3,4,D2,No service,No service,0
689121,Y,Y,Y,Chengannur,KL,3,5,D2,No service,No service,EDL /ODA
673123,Y,Y,Y,Kalpetta,KL,2,5,D2,No service,No service,EDL /ODA
622505,Y,Y,Y,Pudukkottai,TN,3,5,D2,No service,No service,EDL /ODA
524101,Y,Y,Y,Gudur,AP,3,4,D2,SOUTH,GUX,Yes
522212,Y,Y,Y,Guntur,AP,3,4,D2,No service,No service,EDL /ODA
422402,Y,Y,Y,Igatpuri,MH,3,4,D1,No service,No service,EDL /ODA
390003,Y,Y,Y,Vadodara,GJ,2,3,D1,WEST,BDQ,Yes
577125,Y,Y,Y,Thirthahalli,KA,3,5,D2,No service,No service,EDL /ODA
394246,Y,Y,Y,Bardoli,GJ,2,3,D1,No service,No service,EDL /ODA
110026,Y,Y,Y,Delhi,DL,1,1,A,NORTH,DEL,Yes
271402,Y,Y,Y,Gonda,UP,3,3,D1,No service,No service,EDL /ODA
171006,Y,Y,Y,Shimla,HP,3,3,E,No service,No service,EDL /ODA
530040,Y,Y,Y,Visakhapatnam,AP,2,4,D2,SOUTH,VZG,Yes
802220,Y,Y,Y,Bikramganj,BR,3,3,D1,No service,No service,EDL /ODA
140105,Y,Y,Y,Zirakpur,PB,2,2,B,NORTH,ZKP,Yes
303509,Y,Y,Y,Mahwa,RJ,2,2,B,No service,No service,EDL /ODA
383460,Y,Y,Y,Bhiloda,GJ,3,3,D1,No service,No service,EDL /ODA
642112,Y,Y,Y,Udumalaipettai,TN,2,4,D2,No service,No service,EDL /ODA
342005,Y,Y,Y,Jodhpur,RJ,3,3,D1,NORTH,JOD,Yes
247551,Y,Y,Y,Deoband,UP,2,2,B,No service,No service,EDL /ODA
391347,Y,Y,Y,Vadodara,GJ,2,3,D1,WEST,BDQ,Yes
711104,Y,Y,Y,Howrah,WB,2,3,C2,EAST,HOW,Yes
641668,Y,Y,Y,Palladam,TN,2,4,#N/A,SOUTH,NSO,Yes
712502,Y,Y,Y,Bandel,WB,#N/A,#N/A,#N/A,No service,No service,EDL /ODA
400067,Y,Y,Y,Mumbai,MH,2,3,C2,WEST,BOM,Yes
424305,Y,Y,Y,Sakri,MH,3,4,D1,No service,No service,EDL /ODA
680123,Y,Y,Y,Kodungallur,KL,3,5,D2,No service,No service,EDL /ODA
506164,Y,Y,Y,Parkal,TS,3,4,D2,No service,No service,EDL /ODA
175018,Y,Y,Y,Sundar Nagar,HP,3,3,E,No service,No service,EDL /ODA
473774,Y,Y,Y,Shivpuri,MP,3,3,B,No service,No service,EDL /ODA
365540,Y,Y,Y,Rajula,GJ,3,4,D1,No service,No service,EDL /ODA
522658,Y,Y,Y,Vinukonda,AP,3,4,D2,No service,No service,0
325208,Y,Y,Y,Kota,RJ,2,3,D1,No service,No service,EDL /ODA
609704,Y,Y,Y,Peralam,TN,3,5,#N/A,No service,No service,EDL /ODA
272124,Y,Y,Y,Basti,UP,3,3,D1,No service,No service,EDL /ODA
461114,Y,Y,Y,Itarsi,MP,2,3,D1,No service,No service,EDL /ODA
722121,Y,Y,Y,Khatra,WB,3,3,D1,No service,No service,EDL /ODA
643207,Y,Y,Y,Gudalur,TN,2,4,D2,No service,No service,EDL /ODA
782138,Y,Y,Y,Kaliabor,AS,3,4,E,No service,No service,EDL /ODA
743292,Y,Y,Y,Basirhat,WB,2,3,D2,No service,No service,EDL /ODA
636308,Y,Y,Y,Salem,TN,2,4,D2,SOUTH,KPY,Yes
683112,Y,Y,Y,Aluva,KL,3,5,D2,No service,No service,EDL /ODA
331303,Y,Y,Y,Rajgarh,RJ,2,2,B,No service,No service,EDL /ODA
454334,Y,Y,Y,Barwani,MP,3,3,D1,No service,No service,0
423303,Y,Y,Y,Satana,MH,3,4,D1,No service,No service,EDL /ODA
226005,Y,Y,Y,Lucknow,UP,2,2,D1,NORTH,LCK,Yes
121103,Y,Y,Y,Palwal,HR,2,2,B,No service,No service,EDL /ODA
402302,Y,Y,Y,Mahad,MH,3,4,D2,No service,No service,EDL /ODA
627133,Y,Y,Y,Vallioor,TN,3,5,D2,No service,No service,EDL /ODA
509302,Y,Y,Y,Mahabubnagar,TS,3,4,D2,No service,No service,EDL /ODA
676528,Y,Y,Y,Malappuram,KL,2,5,D2,No service,No service,EDL /ODA
145101,Y,Y,Y,Pathankot,PB,3,3,B,No service,No service,EDL /ODA
577448,Y,Y,Y,Thirthahalli,KA,3,5,D2,No service,No service,EDL /ODA
515241,Y,Y,Y,Gorantla,AP,3,4,D2,No service,No service,EDL /ODA
636808,Y,Y,Y,Palacode,TN,3,4,D2,No service,No service,EDL /ODA
802212,Y,Y,Y,Bikramganj,BR,3,3,D1,No service,No service,EDL /ODA
683513,Y,Y,Y,North Paravur,KL,3,5,D2,No service,No service,EDL /ODA
444726,Y,Y,Y,Morshi,MH,2,3,D1,No service,No service,EDL /ODA
751021,Y,Y,Y,Bhubaneshwar,OR,2,3,D2,EAST,BBN,Yes
231209,Y,Y,Y,Robertsganj,UP,3,3,D1,No service,No service,EDL /ODA
410406,Y,Y,Y,Lonavala,MH,2,3,D2,No service,No service,EDL /ODA
621007,Y,Y,Y,Tiruchi,TN,3,5,D2,No service,No service,EDL /ODA
711310,Y,Y,Y,Uluberia,WB,2,3,#N/A,No service,No service,EDL /ODA
743428,Y,Y,Y,Basirhat,WB,2,3,D2,No service,No service,EDL /ODA
628209,Y,Y,Y,Tiruchendur,TN,3,5,D2,No service,No service,EDL /ODA
454665,Y,Y,Y,Sardarpur,MP,3,3,D1,No service,No service,EDL /ODA
571428,Y,Y,Y,Maddur,KA,3,4,D2,No service,No service,EDL /ODA
743610,Y,Y,Y,Baruipur,WB,3,3,C2,No service,No service,EDL /ODA
370006,Y,Y,Y,Bhuj,GJ,3,4,D1,No service,No service,0
401304,Y,Y,Y,Mumbai,MH,2,3,C2,WEST,BOM,Yes
400111,Y,Y,Y,Mumbai,MH,2,3,C2,No service,No service,0
143407,Y,Y,Y,Goindwal,PB,2,2,B,No service,No service,EDL /ODA
621314,Y,Y,Y,Ponnamaravathi,TN,3,5,D2,No service,No service,EDL /ODA
742286,Y,Y,Y,Murshidabad,WB,3,4,D2,No service,No service,EDL /ODA
136034,Y,Y,Y,Pehowa,HR,2,2,B,No service,No service,EDL /ODA
742407,Y,Y,Y,Baharampur,WB,2,4,D2,EAST,BMX,Yes
301023,Y,Y,Y,Alwar,RJ,2,2,B,No service,No service,EDL /ODA
671541,Y,Y,Y,Poinachi,KL,3,4,#N/A,No service,No service,EDL /ODA
531035,Y,Y,Y,Anakapalle,AP,3,4,D2,No service,No service,EDL /ODA
721644,Y,Y,Y,Tamluk,WB,2,3,D2,No service,No service,EDL /ODA
700043,Y,Y,Y,Kolkata,WB,2,3,C2,EAST,CCU,Yes
247665,Y,Y,Y,Roorkee,UK,2,2,B,No service,No service,EDL /ODA
756167,Y,Y,Y,Bhadrak,OR,3,4,D2,No service,No service,EDL /ODA
591301,Y,Y,Y,Alnavar,KA,3,4,D2,No service,No service,EDL /ODA
841235,Y,Y,Y,Mairwa,BR,3,3,D1,No service,No service,0
722181,Y,Y,Y,Bankura,WB,2,3,D1,No service,No service,EDL /ODA
122004,Y,Y,Y,Gurgaon,HR,1,1,A,NORTH,GGN,Yes
847120,Y,Y,Y,Darbhanga,BR,3,3,D1,No service,No service,0
533347,Y,Y,Y,Chintoor,AP,3,4,D2,No service,No service,EDL /ODA
712615,Y,Y,Y,Arambag,WB,3,3,D1,No service,No service,EDL /ODA
577007,Y,Y,Y,Davangere,KA,2,5,D2,No service,No service,0
262411,Y,Y,Y,Baheri,UP,2,2,B,No service,No service,0
722148,Y,Y,Y,Khatra,WB,3,3,D1,No service,No service,EDL /ODA
743438,Y,Y,Y,Swarupnagar,WB,2,3,D2,No service,No service,EDL /ODA
394445,Y,Y,Y,Dediapada,GJ,2,3,D1,No service,No service,EDL /ODA
360450,Y,Y,Y,Upleta,GJ,3,3,D1,No service,No service,EDL /ODA
148004,Y,Y,Y,Sangrur,PB,2,2,B,No service,No service,EDL /ODA
176219,Y,Y,Y,Dharamshala,HP,3,3,E,No service,No service,0
614613,Y,Y,Y,Pattukkottai,TN,3,5,D2,No service,No service,EDL /ODA
480999,Y,Y,Y,Lakhnadon,MP,3,3,D1,No service,No service,EDL /ODA
145024,Y,Y,Y,Pathankot,PB,3,3,B,No service,No service,EDL /ODA
261201,Y,Y,Y,Biswan,UP,3,3,B,No service,No service,EDL /ODA
515672,Y,Y,Y,Anantapur,AP,2,4,D2,No service,No service,EDL /ODA
182101,Y,Y,Y,Udhampur,JK,2,3,E,NORTH,UDP,Yes
134204,Y,Y,Y,Naraingarh,HR,2,2,B,NORTH,PKL,Yes
424318,Y,Y,Y,Dhule,MH,3,4,D1,No service,No service,EDL /ODA
362150,Y,Y,Y,Talala,GJ,3,3,D1,No service,No service,EDL /ODA
832119,Y,Y,Y,Seraikella,JH,2,3,D1,No service,No service,EDL /ODA
262902,Y,Y,Y,Nighasan,UP,3,3,B,No service,No service,EDL /ODA
764069,Y,Y,Y,Nabarangapur,OR,3,4,D2,No service,No service,0
678532,Y,Y,Y,Palakkad,KL,3,4,D2,No service,No service,EDL /ODA
110080,Y,Y,Y,Delhi,DL,1,1,A,NORTH,DEL,Yes
413725,Y,Y,Y,Shrirampur,MH,3,4,D1,No service,No service,EDL /ODA
533211,Y,Y,Y,Amalapuram,AP,3,4,D2,No service,No service,EDL /ODA
500020,Y,Y,Y,Hyderabad,TS,2,3,C2,SOUTH,HYD,Yes
263156,Y,Y,Y,Bhimtal,UK,2,2,B,No service,No service,EDL /ODA
143525,Y,Y,Y,Dinanagar,PB,3,3,B,No service,No service,EDL /ODA
621105,Y,Y,Y,Tiruchi,TN,3,5,D2,No service,No service,EDL /ODA
313327,Y,Y,Y,Fatehnagar,RJ,3,3,D1,No service,No service,0
382730,Y,Y,Y,Mehsana,GJ,3,4,D1,No service,No service,EDL /ODA
533433,Y,Y,Y,Samarlakota,AP,3,4,D2,No service,No service,0
623527,Y,Y,Y,Ramanathapuram,TN,3,5,D2,No service,No service,EDL /ODA
341542,Y,Y,Y,Makrana,RJ,3,3,B,No service,No service,EDL /ODA
573126,Y,Y,Y,Arsikere,KA,3,5,D2,No service,No service,EDL /ODA
225003,Y,Y,Y,Barabanki,UP,2,2,D1,No service,No service,EDL /ODA
453332,Y,Y,Y,Indore,MP,2,2,D1,No service,No service,EDL /ODA
224119,Y,Y,Y,Dariyabad,UP,2,2,D1,No service,No service,EDL /ODA
400401,Y,Y,Y,Mumbai,MH,2,3,C2,No service,No service,0
388211,Y,Y,Y,Umreth,GJ,2,3,D1,No service,No service,0
224146,Y,Y,Y,Akbarpur,UP,3,3,D1,No service,No service,0
685566,Y,Y,Y,Kuthumkal,KL,3,5,D2,No service,No service,EDL /ODA
759123,Y,Y,Y,Angul,OR,3,4,D2,No service,No service,EDL /ODA
577421,Y,Y,Y,Siddapur,KA,3,5,D2,No service,No service,EDL /ODA
690530,Y,Y,Y,Kayamkulam,KL,3,5,D2,No service,No service,EDL /ODA
625003,Y,Y,Y,Madurai,TN,3,5,D2,SOUTH,IXM,Yes
829133,Y,Y,Y,Patratu,JH,2,3,D1,No service,No service,EDL /ODA
393135,Y,Y,Y,Ankleshwar,GJ,2,3,D1,WEST,ANK,Yes
126115,Y,Y,Y,Jind,HR,2,2,B,No service,No service,EDL /ODA
517536,Y,Y,Y,Srikalahasti,AP,3,5,D2,No service,No service,EDL /ODA
826004,Y,Y,Y,Dhanbad,JH,3,3,D1,EAST,DBD,Yes
630501,Y,Y,Y,Ponnamaravathi,TN,3,5,D2,No service,No service,EDL /ODA
623004,Y,Y,Y,Karaikudi,TN,3,5,D2,No service,No service,0
228120,Y,Y,Y,Lambhua,UP,2,2,D1,No service,No service,EDL /ODA
246172,Y,Y,Y,Gumkhal,UK,3,3,B,No service,No service,EDL /ODA
691601,Y,Y,Y,Kollam,KL,3,5,D2,SOUTH,QUX,Yes
600059,Y,Y,Y,Chennai,TN,2,4,C2,SOUTH,MAA,Yes
485661,Y,Y,Y,Maihar,MP,3,3,D1,No service,No service,EDL /ODA
743446,Y,Y,Y,Hingalganj,WB,2,3,D2,No service,No service,EDL /ODA
229504,Y,Y,Y,Unnao,UP,2,2,B,No service,No service,EDL /ODA
176066,Y,Y,Y,Khundian,HP,3,3,E,No service,No service,EDL /ODA
785681,Y,Y,Y,Teok,AS,3,5,E,No service,No service,EDL /ODA
522007,Y,Y,Y,Mantada,AP,3,4,#N/A,SOUTH,GUN,Yes
623538,Y,Y,Y,Thiruvadanai,TN,3,5,D2,No service,No service,EDL /ODA
395017,Y,Y,Y,Surat,GJ,2,3,D1,WEST,SUR,Yes
226000,Y,Y,Y,Lucknow,UP,2,2,D1,No service,No service,0
110100,Y,Y,Y,Delhi,DL,1,1,A,NORTH,DEL,Yes
680544,Y,Y,Y,Chiramanangad,KL,4,5,#N/A,No service,No service,EDL /ODA
712416,Y,Y,Y,Khanakul,WB,2,3,D2,No service,No service,EDL /ODA
639202,Y,Y,Y,Gujiliamparai,TN,3,5,D2,No service,No service,EDL /ODA
576104,Y,Y,Y,Manipal,KA,3,4,D2,SOUTH,MPL,Yes
829135,Y,Y,Y,Patratu,JH,2,3,D1,No service,No service,EDL /ODA
470117,Y,Y,Y,Khurai,MP,3,3,D1,No service,No service,EDL /ODA
530020,Y,Y,Y,Visakhapatnam,AP,2,4,D2,SOUTH,VZG,Yes
601102,Y,Y,Y,Gummudipoondi,TN,3,4,D2,No service,No service,EDL /ODA
212664,Y,Y,Y,Ambuj Nagar,UP,2,2,D1,No service,No service,EDL /ODA
678681,Y,Y,Y,Nenmara,KL,4,5,D2,No service,No service,EDL /ODA
470669,Y,Y,Y,Banda-MP,MP,3,3,D1,No service,No service,EDL /ODA
533287,Y,Y,Y,Gokavaram,AP,3,4,D2,No service,No service,0
491338,Y,Y,Y,Bemetara,CG,2,4,D1,No service,No service,EDL /ODA
560081,Y,Y,Y,Bangalore,KA,2,4,C2,SOUTH,BLR,Yes
535125,Y,Y,Y,Garividi,AP,2,4,D2,No service,No service,EDL /ODA
577523,Y,Y,Y,Channagiri,KA,3,5,D2,No service,No service,EDL /ODA
274701,Y,Y,Y,Salempur,UP,3,3,D1,No service,No service,EDL /ODA
756056,Y,Y,Y,Balasore,OR,3,4,D2,No service,No service,EDL /ODA
535579,Y,Y,Y,Salur,AP,3,4,D2,No service,No service,0
755033,Y,Y,Y,Jajpur,OR,3,4,D2,No service,No service,EDL /ODA
246446,Y,Y,Y,Chamoli,UK,3,3,D1,No service,No service,EDL /ODA
560018,Y,Y,Y,Bangalore,KA,2,4,C2,SOUTH,BLR,Yes
678551,Y,Y,Y,Palakkad,KL,3,4,D2,No service,No service,EDL /ODA
202141,Y,Y,Y,Khair,UP,2,2,B,No service,No service,EDL /ODA
303701,Y,Y,Y,Kalwar,RJ,3,3,B,NORTH,JAI,Yes
535148,Y,Y,Y,S Kota,AP,3,4,D2,No service,No service,0
441807,Y,Y,Y,Sadak Arjuni,MH,3,3,D1,No service,No service,EDL /ODA
785013,Y,Y,Y,Jorhat,AS,3,5,E,EAST,JHT,Yes
534341,Y,Y,Y,Gopalapuram,AP,3,4,#N/A,No service,No service,0
676303,Y,Y,Y,Malappuram,KL,2,5,D2,No service,No service,EDL /ODA
679594,Y,Y,Y,Edappal,KL,2,5,D2,No service,No service,EDL /ODA
387130,Y,Y,Y,Nadiad,GJ,2,3,D1,No service,No service,EDL /ODA
689582,Y,Y,Y,Tiruvalla,KL,3,5,D2,No service,No service,EDL /ODA
271503,Y,Y,Y,Colonejganj,UP,3,3,D1,No service,No service,EDL /ODA
680672,Y,Y,Y,Irinjalakuda,KL,3,5,D2,No service,No service,EDL /ODA
671314,Y,Y,Y,Nileshwar,KL,3,5,D2,No service,No service,EDL /ODA
612204,Y,Y,Y,Kumbakonam,TN,3,5,D2,No service,No service,EDL /ODA
388355,Y,Y,Y,Anand,GJ,2,3,D1,No service,No service,EDL /ODA
173221,Y,Y,Y,Solan,HP,3,3,E,No service,No service,EDL /ODA
560074,Y,Y,Y,Bangalore,KA,2,4,C2,SOUTH,XBD,Yes
784004,Y,Y,Y,Tezpur,AS,3,4,E,No service,No service,0
770037,Y,Y,Y,Rourkela,OR,2,3,D1,No service,No service,EDL /ODA
680319,Y,Y,Y,Thrissur,KL,3,5,D2,No service,No service,EDL /ODA
689723,Y,Y,Y,Pathanamthitta,KL,3,5,D2,No service,No service,EDL /ODA
688527,Y,Y,Y,Alappuzha,KL,3,5,D2,No service,No service,EDL /ODA
464226,Y,Y,Y,Vidisha,MP,2,3,D1,No service,No service,EDL /ODA
629188,Y,Y,Y,Marthandam,TN,3,5,D2,No service,No service,EDL /ODA
144802,Y,Y,Y,Kapurthala,PB,2,2,B,No service,No service,EDL /ODA
496115,Y,Y,Y,Lailunga,CG,4,4,D1,No service,No service,EDL /ODA
503174,Y,Y,Y,Nizamabad,TS,3,4,D1,No service,No service,EDL /ODA
244415,Y,Y,Y,Moradabad,UP,2,2,B,No service,No service,EDL /ODA
272176,Y,Y,Y,Khalilabad,UP,3,3,D1,No service,No service,EDL /ODA
532005,Y,Y,Y,Srikakulam,AP,2,4,D2,SOUTH,SKM,Yes
794102,Y,Y,Y,Baghmara,ML,4,5,#N/A,No service,No service,EDL /ODA
577501,Y,Y,Y,Chitradurga,KA,3,5,D2,No service,No service,EDL /ODA
396195,Y,Y,Y,Vapi,GJ,3,3,D1,WEST,VAP,Yes
581319,Y,Y,Y,Ankola,KA,2,4,D2,No service,No service,EDL /ODA
246487,Y,Y,Y,Chamoli,UK,3,3,D1,No service,No service,EDL /ODA
689613,Y,Y,Y,Kozhenchery,KL,3,5,D2,No service,No service,EDL /ODA
754205,Y,Y,Y,Chandikhol,OR,3,4,D2,No service,No service,EDL /ODA
362120,Y,Y,Y,Visavadar,GJ,3,3,D1,No service,No service,EDL /ODA
415711,Y,Y,Y,Khed,MH,3,4,D2,No service,No service,EDL /ODA
143413,Y,Y,Y,Tarn Taran Sahib,PB,2,2,B,No service,No service,EDL /ODA
735302,Y,Y,Y,Mainaguri,WB,2,3,D2,No service,No service,EDL /ODA
805135,Y,Y,Y,Wazirganj,BR,2,3,D1,No service,No service,0
363631,Y,Y,Y,Morbi,GJ,3,3,D1,No service,No service,0
175008,Y,Y,Y,Mandi,HP,3,3,E,No service,No service,EDL /ODA
754132,Y,Y,Y,Jagatsinghpur,OR,3,4,D2,No service,No service,EDL /ODA
743700,Y,Y,Y,Kolkata,WB,2,3,C2,No service,No service,EDL /ODA
283135,Y,Y,Y,Shikohabad,UP,2,2,B,No service,No service,EDL /ODA
465223,Y,Y,Y,Shujalpur,MP,2,3,D1,No service,No service,EDL /ODA
222125,Y,Y,Y,Badlapur,UP,3,3,D1,No service,No service,EDL /ODA
700116,Y,Y,Y,Kolkata,WB,2,3,C2,EAST,BRK,Yes
624202,Y,Y,Y,Dindigul,TN,3,5,D2,No service,No service,EDL /ODA
487551,Y,Y,Y,Gadarwara,MP,3,3,D1,No service,No service,EDL /ODA
276206,Y,Y,Y,Nizamabad-UP,UP,3,3,D1,No service,No service,EDL /ODA
847405,Y,Y,Y,Benipur,BR,3,3,D1,No service,No service,EDL /ODA
804425,Y,Y,Y,Jehanabad,BR,2,3,D1,No service,No service,EDL /ODA
